Request ID,Booking ID,Room ID,Room_Number,Room_Type,Request_Type,Capacity,Occupants,Client,Menu_ID,Menu_Name,orders,Time,Days,Room_Rate,Hotel_Cost,Food_Cost,Total_Cost,Request Start Date
18,28,3,S4,conference_room_small,wedding,15,54,Jaylyn Metz,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-13
18,29,3,S5,conference_room_small,wedding,15,54,Jaylyn Metz,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-13
18,30,3,S6,conference_room_small,wedding,15,54,Jaylyn Metz,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-13
19,31,4,N0,normal_room,holiday,1,4,Kenyon Green I,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-01-28
19,32,4,N1,normal_room,holiday,1,4,Kenyon Green I,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-01-28
19,33,4,N2,normal_room,holiday,1,4,Kenyon Green I,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-01-28
19,34,4,N3,normal_room,holiday,1,4,Kenyon Green I,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-01-28
20,35,3,S61,conference_room_small,party,15,33,Le O'Kon,10,surf 'n turf,3,22:34:00,4,80,320,51,371,2016-03-02
20,36,3,S62,conference_room_small,party,15,33,Le O'Kon,10,surf 'n turf,3,01:36:00,4,80,320,51,371,2016-03-02
20,37,3,S71,conference_room_small,party,15,33,Le O'Kon,11,vegetarian lasagna,5,23:17:00,4,80,320,80,400,2016-03-02
20,37,3,S71,conference_room_small,party,15,33,Le O'Kon,15,tea,3,04:46:00,4,80,320,7.5,327.5,2016-03-02
21,38,2,D2,double_room,holiday,3,1,Mr. Oswaldo Terry DVM,NULL,NULL,NULL,NULL,2,100,200,0,200,2016-03-26
22,39,5,L0,conference_room_large,party,50,48,Dr. Tennille Lind,NULL,NULL,NULL,NULL,3,150,450,0,450,2016-03-23
23,40,4,N0,normal_room,business,1,2,Mitch Goodwin DDS,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-06
23,41,4,N1,normal_room,business,1,2,Mitch Goodwin DDS,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-06
24,42,5,L1,conference_room_large,party,50,68,Dr. Lilliana Wiegand,0,water,4,02:08:00,5,150,750,10,760,2016-03-22
24,42,5,L1,conference_room_large,party,50,68,Dr. Lilliana Wiegand,9,steak 'n stuff,2,11:47:00,5,150,750,36,786,2016-03-22
24,43,5,L2,conference_room_large,party,50,68,Dr. Lilliana Wiegand,0,water,1,08:58:00,5,150,750,2.5,752.5,2016-03-22
24,43,5,L2,conference_room_large,party,50,68,Dr. Lilliana Wiegand,9,steak 'n stuff,4,16:01:00,5,150,750,72,822,2016-03-22
24,43,5,L2,conference_room_large,party,50,68,Dr. Lilliana Wiegand,14,coffee,5,02:12:00,5,150,750,15,765,2016-03-22
25,44,3,S0,conference_room_small,conference,15,16,Jeannie Olson,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-12
25,45,3,S1,conference_room_small,conference,15,16,Jeannie Olson,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-12
26,46,5,L0,conference_room_large,wedding,50,47,Dr. Prudence Bode PhD,5,french-breakfast,2,06:23:00,4,150,600,14,614,2016-01-04
26,46,5,L0,conference_room_large,wedding,50,47,Dr. Prudence Bode PhD,8,deluxe-lunch,2,19:32:00,4,150,600,20,620,2016-01-04
26,46,5,L0,conference_room_large,wedding,50,47,Dr. Prudence Bode PhD,9,steak 'n stuff,4,02:09:00,4,150,600,72,672,2016-01-04
27,47,1,X0,deluxe_room,business,3,1,Dr. Sal Fisher DDS,NULL,NULL,NULL,NULL,2,150,300,0,300,2016-02-26
28,48,4,N0,normal_room,holiday,1,5,Dangelo Schimmel,NULL,NULL,NULL,NULL,7,80,560,0,560,2016-01-12
28,49,4,N1,normal_room,holiday,1,5,Dangelo Schimmel,NULL,NULL,NULL,NULL,7,80,560,0,560,2016-01-12
28,50,4,N2,normal_room,holiday,1,5,Dangelo Schimmel,NULL,NULL,NULL,NULL,7,80,560,0,560,2016-01-12
28,51,4,N3,normal_room,holiday,1,5,Dangelo Schimmel,NULL,NULL,NULL,NULL,7,80,560,0,560,2016-01-12
28,52,4,N4,normal_room,holiday,1,5,Dangelo Schimmel,NULL,NULL,NULL,NULL,7,80,560,0,560,2016-01-12
29,53,4,N6,normal_room,holiday,1,8,Dr. Billy Corkery,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-09
29,54,4,N7,normal_room,holiday,1,8,Dr. Billy Corkery,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-09
29,55,4,N30,normal_room,holiday,1,8,Dr. Billy Corkery,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-09
29,56,4,N31,normal_room,holiday,1,8,Dr. Billy Corkery,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-09
29,57,4,N32,normal_room,holiday,1,8,Dr. Billy Corkery,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-09
29,58,4,N33,normal_room,holiday,1,8,Dr. Billy Corkery,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-09
29,59,4,N71,normal_room,holiday,1,8,Dr. Billy Corkery,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-09
29,60,4,N72,normal_room,holiday,1,8,Dr. Billy Corkery,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-09
30,61,5,L0,conference_room_large,conference,50,40,Amanda Marvin,2,beer,4,08:32:00,4,150,600,14,614,2016-03-03
30,61,5,L0,conference_room_large,conference,50,40,Amanda Marvin,4,simple-breakfast,4,10:43:00,4,150,600,20,620,2016-03-03
30,61,5,L0,conference_room_large,conference,50,40,Amanda Marvin,5,french-breakfast,5,01:40:00,4,150,600,35,635,2016-03-03
30,61,5,L0,conference_room_large,conference,50,40,Amanda Marvin,6,deluxe-breakfast,3,10:10:00,4,150,600,36,636,2016-03-03
31,62,1,X1,deluxe_room,holiday,3,2,Kirstin Parisian MD,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-03-02
32,63,5,L0,conference_room_large,wedding,50,53,Lorene Mayer,NULL,NULL,NULL,NULL,3,150,450,0,450,2016-01-01
32,64,5,L1,conference_room_large,wedding,50,53,Lorene Mayer,8,deluxe-lunch,4,00:02:00,3,150,450,40,490,2016-01-01
32,64,5,L1,conference_room_large,wedding,50,53,Lorene Mayer,11,vegetarian lasagna,1,06:33:00,3,150,450,16,466,2016-01-01
33,65,5,L12,conference_room_large,conference,50,28,Franz Wuckert Jr.,3,wine,1,03:42:00,3,150,450,3.5,453.5,2016-03-13
33,65,5,L12,conference_room_large,conference,50,28,Franz Wuckert Jr.,15,tea,3,08:49:00,3,150,450,7.5,457.5,2016-03-13
34,66,1,X20,deluxe_room,holiday,3,5,Washington Denesik,NULL,NULL,NULL,NULL,2,150,300,0,300,2016-02-27
34,67,1,X33,deluxe_room,holiday,3,5,Washington Denesik,NULL,NULL,NULL,NULL,2,150,300,0,300,2016-02-27
35,68,2,D5,double_room,holiday,3,4,Cristopher Schmidt,NULL,NULL,NULL,NULL,3,100,300,0,300,2016-02-12
35,69,2,D12,double_room,holiday,3,4,Cristopher Schmidt,NULL,NULL,NULL,NULL,3,100,300,0,300,2016-02-12
36,NULL,NULL,NULL,NULL,conference,NULL,25,Alena Kassulke MD,NULL,NULL,NULL,NULL,4,NULL,NULL,0,NULL,2016-01-13
37,70,4,N0,normal_room,holiday,1,6,Danial Oberbrunner,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-03-02
37,71,4,N1,normal_room,holiday,1,6,Danial Oberbrunner,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-03-02
37,72,4,N2,normal_room,holiday,1,6,Danial Oberbrunner,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-03-02
37,73,4,N3,normal_room,holiday,1,6,Danial Oberbrunner,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-03-02
37,74,4,N4,normal_room,holiday,1,6,Danial Oberbrunner,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-03-02
37,75,4,N5,normal_room,holiday,1,6,Danial Oberbrunner,NULL,NULL,NULL,NULL,8,80,640,0,640,2016-03-02
38,76,2,D0,double_room,holiday,3,1,Mr. Jaxen Batz,NULL,NULL,NULL,NULL,1,100,100,0,100,2016-03-08
39,77,2,D0,double_room,business,3,2,Yair Dooley,NULL,NULL,NULL,NULL,6,100,600,0,600,2016-02-21
40,78,4,N10,normal_room,holiday,1,2,Dr. Ruffin VonRueden,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-03
40,79,4,N29,normal_room,holiday,1,2,Dr. Ruffin VonRueden,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-03-03
41,NULL,NULL,NULL,NULL,business,NULL,2,Marley Wisoky,NULL,NULL,NULL,NULL,3,NULL,NULL,0,NULL,2016-01-06
42,80,1,X0,deluxe_room,business,3,2,Marshall Sporer,NULL,NULL,NULL,NULL,8,150,1200,0,1200,2016-03-02
43,81,2,D7,double_room,holiday,3,2,Mr. Kylan Kiehn,NULL,NULL,NULL,NULL,3,100,300,0,300,2016-02-11
44,82,5,L0,conference_room_large,party,50,48,Isam Jaskolski,7,simple-lunch,4,17:53:00,4,150,600,20,620,2016-03-12
44,82,5,L0,conference_room_large,party,50,48,Isam Jaskolski,7,simple-lunch,5,14:54:00,4,150,600,25,625,2016-03-12
44,82,5,L0,conference_room_large,party,50,48,Isam Jaskolski,11,vegetarian lasagna,1,19:32:00,4,150,600,16,616,2016-03-12
45,83,4,N6,normal_room,business,1,2,Kathyrn Hagenes,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-03-04
45,84,4,N7,normal_room,business,1,2,Kathyrn Hagenes,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-03-04
46,85,3,S0,conference_room_small,party,15,77,Dr. Demetrios Macejkovic,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-04
46,86,3,S1,conference_room_small,party,15,77,Dr. Demetrios Macejkovic,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-04
46,87,3,S2,conference_room_small,party,15,77,Dr. Demetrios Macejkovic,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-04
46,88,3,S3,conference_room_small,party,15,77,Dr. Demetrios Macejkovic,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-04
46,89,3,S4,conference_room_small,party,15,77,Dr. Demetrios Macejkovic,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-04
46,90,3,S5,conference_room_small,party,15,77,Dr. Demetrios Macejkovic,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-04
47,91,2,D0,double_room,holiday,3,4,Okey Hartmann,NULL,NULL,NULL,NULL,9,100,900,0,900,2016-03-20
47,92,2,D1,double_room,holiday,3,4,Okey Hartmann,NULL,NULL,NULL,NULL,9,100,900,0,900,2016-03-20
48,93,4,N4,normal_room,business,1,1,Donavan Ferry,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-01-29
49,94,5,L8,conference_room_large,party,50,55,Ms. Elaina Hermiston DVM,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-01-11
49,95,5,L12,conference_room_large,party,50,55,Ms. Elaina Hermiston DVM,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-01-11
50,96,2,D0,double_room,business,3,5,Luella Rau,NULL,NULL,NULL,NULL,3,100,300,0,300,2016-01-19
50,97,2,D1,double_room,business,3,5,Luella Rau,NULL,NULL,NULL,NULL,3,100,300,0,300,2016-01-19
51,98,2,D0,double_room,business,3,2,Gunnar O'Conner Jr.,NULL,NULL,NULL,NULL,8,100,800,0,800,2016-02-29
52,99,2,D0,double_room,business,3,2,Erasmo Ferry,NULL,NULL,NULL,NULL,5,100,500,0,500,2016-01-22
53,100,3,S0,conference_room_small,wedding,15,60,Gussie Terry,14,coffee,5,07:28:00,4,80,320,15,335,2016-01-12
53,101,3,S1,conference_room_small,wedding,15,60,Gussie Terry,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-01-12
53,102,3,S2,conference_room_small,wedding,15,60,Gussie Terry,6,deluxe-breakfast,5,02:43:00,4,80,320,60,380,2016-01-12
53,103,3,S3,conference_room_small,wedding,15,60,Gussie Terry,NULL,NULL,NULL,NULL,4,80,320,0,320,2016-01-12
54,104,2,D1,double_room,business,3,1,Isa Jacobs,NULL,NULL,NULL,NULL,11,100,1100,0,1100,2016-02-26
55,105,2,D2,double_room,business,3,4,Ivanna Ondricka,1,soft-drink,1,19:31:00,10,100,1000,3,1003,2016-03-04
55,106,2,D3,double_room,business,3,4,Ivanna Ondricka,6,deluxe-breakfast,5,23:06:00,10,100,1000,60,1060,2016-03-04
56,107,4,N4,normal_room,business,1,2,Hezzie Gerhold,NULL,NULL,NULL,NULL,7,80,560,0,560,2016-01-24
56,108,4,N5,normal_room,business,1,2,Hezzie Gerhold,NULL,NULL,NULL,NULL,7,80,560,0,560,2016-01-24
57,109,1,X0,deluxe_room,holiday,3,3,Jim Kuhic,NULL,NULL,NULL,NULL,4,150,600,0,600,2016-02-28
58,110,4,N0,normal_room,holiday,1,4,Ocie Torp,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-04
58,111,4,N1,normal_room,holiday,1,4,Ocie Torp,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-04
58,112,4,N2,normal_room,holiday,1,4,Ocie Torp,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-04
58,113,4,N3,normal_room,holiday,1,4,Ocie Torp,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-04
59,114,1,X1,deluxe_room,business,3,2,Mr. Immanuel Schowalter PhD,NULL,NULL,NULL,NULL,9,150,1350,0,1350,2016-01-16
60,115,5,L1,conference_room_large,conference,50,22,Christel Zulauf,8,deluxe-lunch,4,00:02:00,2,150,300,40,340,2016-01-03
60,115,5,L1,conference_room_large,conference,50,22,Christel Zulauf,11,vegetarian lasagna,1,06:33:00,2,150,300,16,316,2016-01-03
60,115,5,L1,conference_room_large,conference,50,22,Christel Zulauf,11,vegetarian lasagna,2,12:27:00,2,150,300,32,332,2016-01-03
61,116,5,L1,conference_room_large,party,50,63,Ashleigh Reinger,0,water,2,07:28:00,9,150,1350,5,1355,2016-03-28
61,116,5,L1,conference_room_large,party,50,63,Ashleigh Reinger,3,wine,3,15:22:00,9,150,1350,10.5,1360.5,2016-03-28
61,116,5,L1,conference_room_large,party,50,63,Ashleigh Reinger,4,simple-breakfast,5,00:09:00,9,150,1350,25,1375,2016-03-28
61,116,5,L1,conference_room_large,party,50,63,Ashleigh Reinger,6,deluxe-breakfast,2,01:24:00,9,150,1350,24,1374,2016-03-28
61,116,5,L1,conference_room_large,party,50,63,Ashleigh Reinger,10,surf 'n turf,4,01:44:00,9,150,1350,68,1418,2016-03-28
61,116,5,L1,conference_room_large,party,50,63,Ashleigh Reinger,11,vegetarian lasagna,4,03:20:00,9,150,1350,64,1414,2016-03-28
61,117,5,L2,conference_room_large,party,50,63,Ashleigh Reinger,1,soft-drink,1,23:38:00,9,150,1350,3,1353,2016-03-28
61,117,5,L2,conference_room_large,party,50,63,Ashleigh Reinger,7,simple-lunch,2,20:58:00,9,150,1350,10,1360,2016-03-28
61,117,5,L2,conference_room_large,party,50,63,Ashleigh Reinger,7,simple-lunch,3,00:23:00,9,150,1350,15,1365,2016-03-28
61,117,5,L2,conference_room_large,party,50,63,Ashleigh Reinger,13,super soup,1,10:21:00,9,150,1350,14,1364,2016-03-28
61,117,5,L2,conference_room_large,party,50,63,Ashleigh Reinger,14,coffee,5,07:44:00,9,150,1350,15,1365,2016-03-28
61,117,5,L2,conference_room_large,party,50,63,Ashleigh Reinger,15,tea,2,16:25:00,9,150,1350,5,1355,2016-03-28
62,118,4,N0,normal_room,holiday,1,2,Ms. Marvel Haley MD,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-17
62,119,4,N1,normal_room,holiday,1,2,Ms. Marvel Haley MD,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-17
63,120,5,L29,conference_room_large,wedding,50,85,Abril Senger,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-03-08
63,121,5,L30,conference_room_large,wedding,50,85,Abril Senger,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-03-08
64,122,1,X0,deluxe_room,business,3,1,Bambi Carter,NULL,NULL,NULL,NULL,2,150,300,0,300,2016-02-08
65,123,2,D0,double_room,holiday,3,2,Sherri Gottlieb,NULL,NULL,NULL,NULL,7,100,700,0,700,2016-03-30
66,124,4,N25,normal_room,business,1,4,Mrs. Shania Huels MD,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-20
66,125,4,N26,normal_room,business,1,4,Mrs. Shania Huels MD,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-20
66,126,4,N27,normal_room,business,1,4,Mrs. Shania Huels MD,NULL,NULL,NULL,NULL,3,80,240,0,240,2016-02-20
66,127,4,N46,normal_room,business,1,4,Mrs. Shania Huels MD,2,beer,3,14:37:00,3,80,240,10.5,250.5,2016-02-20
67,128,5,L0,conference_room_large,conference,50,23,Homer Schiller,NULL,NULL,NULL,NULL,6,150,900,0,900,2016-02-26
68,129,5,L1,conference_room_large,conference,50,36,Mrs. Kelly O'Conner,11,vegetarian lasagna,4,03:20:00,2,150,300,64,364,2016-03-27
69,130,2,D0,double_room,business,3,1,Dr. Dominic Auer,NULL,NULL,NULL,NULL,4,100,400,0,400,2016-01-04
70,131,3,S0,conference_room_small,party,15,42,Matt Lynch,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-01
70,132,3,S1,conference_room_small,party,15,42,Matt Lynch,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-01
70,133,3,S2,conference_room_small,party,15,42,Matt Lynch,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-01-01
71,134,2,D0,double_room,holiday,3,9,Dr. Tamiko Bauch PhD,NULL,NULL,NULL,NULL,2,100,200,0,200,2016-01-12
71,135,2,D2,double_room,holiday,3,9,Dr. Tamiko Bauch PhD,NULL,NULL,NULL,NULL,2,100,200,0,200,2016-01-12
71,136,2,D3,double_room,holiday,3,9,Dr. Tamiko Bauch PhD,NULL,NULL,NULL,NULL,2,100,200,0,200,2016-01-12
72,137,4,N10,normal_room,business,1,4,Mardell Rath,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-02-01
72,138,4,N11,normal_room,business,1,4,Mardell Rath,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-02-01
72,139,4,N12,normal_room,business,1,4,Mardell Rath,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-02-01
72,140,4,N13,normal_room,business,1,4,Mardell Rath,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-02-01
73,141,5,L5,conference_room_large,conference,50,17,Magdalena Hilpert PhD,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-01-14
74,142,4,N11,normal_room,holiday,1,4,Knox Altenwerth,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-02-20
74,143,4,N18,normal_room,holiday,1,4,Knox Altenwerth,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-02-20
74,144,4,N19,normal_room,holiday,1,4,Knox Altenwerth,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-02-20
74,145,4,N24,normal_room,holiday,1,4,Knox Altenwerth,NULL,NULL,NULL,NULL,5,80,400,0,400,2016-02-20
75,146,3,S0,conference_room_small,conference,15,20,Ephraim Schamberger,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-18
75,147,3,S1,conference_room_small,conference,15,20,Ephraim Schamberger,NULL,NULL,NULL,NULL,2,80,160,0,160,2016-03-18
76,148,1,X14,deluxe_room,business,3,1,Faye Mraz,NULL,NULL,NULL,NULL,3,150,450,0,450,2016-03-04
77,149,1,X0,deluxe_room,business,3,2,Chadd Wunsch,NULL,NULL,NULL,NULL,4,150,600,0,600,2016-01-18
78,150,3,S0,conference_room_small,conference,15,41,Germaine Lockman,5,french-breakfast,5,00:00:00,12,80,960,35,995,2016-02-14
78,150,3,S0,conference_room_small,conference,15,41,Germaine Lockman,13,super soup,1,19:03:00,12,80,960,14,974,2016-02-14
78,150,3,S0,conference_room_small,conference,15,41,Germaine Lockman,13,super soup,4,03:15:00,12,80,960,56,1016,2016-02-14
78,151,3,S1,conference_room_small,conference,15,41,Germaine Lockman,NULL,NULL,NULL,NULL,12,80,960,0,960,2016-02-14
78,152,3,S2,conference_room_small,conference,15,41,Germaine Lockman,9,steak 'n stuff,3,12:54:00,12,80,960,54,1014,2016-02-14
78,152,3,S2,conference_room_small,conference,15,41,Germaine Lockman,14,coffee,4,18:59:00,12,80,960,12,972,2016-02-14
79,153,2,D2,double_room,holiday,3,2,Izaiah Ferry,NULL,NULL,NULL,NULL,2,100,200,0,200,2016-02-03
80,154,5,L1,conference_room_large,party,50,54,Claud Lebsack,9,steak 'n stuff,2,11:47:00,3,150,450,36,486,2016-03-20
80,155,5,L8,conference_room_large,party,50,54,Claud Lebsack,4,simple-breakfast,3,00:10:00,3,150,450,15,465,2016-03-20
80,155,5,L8,conference_room_large,party,50,54,Claud Lebsack,9,steak 'n stuff,2,09:15:00,3,150,450,36,486,2016-03-20
80,155,5,L8,conference_room_large,party,50,54,Claud Lebsack,12,spareribs,3,22:18:00,3,150,450,51,501,2016-03-20
81,156,1,X0,deluxe_room,business,3,6,Glover Hansen,NULL,NULL,NULL,NULL,6,150,900,0,900,2016-01-11
81,157,1,X1,deluxe_room,business,3,6,Glover Hansen,NULL,NULL,NULL,NULL,6,150,900,0,900,2016-01-11
82,158,1,X0,deluxe_room,business,3,3,Bethel Upton IV,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-02-17
83,159,4,N0,normal_room,holiday,1,5,Dr. Flonnie Kreiger,13,super soup,3,00:25:00,11,80,880,42,922,2016-02-22
83,160,4,N1,normal_room,holiday,1,5,Dr. Flonnie Kreiger,6,deluxe-breakfast,4,23:24:00,11,80,880,48,928,2016-02-22
83,161,4,N2,normal_room,holiday,1,5,Dr. Flonnie Kreiger,NULL,NULL,NULL,NULL,11,80,880,0,880,2016-02-22
83,162,4,N3,normal_room,holiday,1,5,Dr. Flonnie Kreiger,NULL,NULL,NULL,NULL,11,80,880,0,880,2016-02-22
83,163,4,N4,normal_room,holiday,1,5,Dr. Flonnie Kreiger,NULL,NULL,NULL,NULL,11,80,880,0,880,2016-02-22
84,164,5,L1,conference_room_large,wedding,50,37,Jaelyn Gusikowski,NULL,NULL,NULL,NULL,1,150,150,0,150,2016-03-19
85,165,5,L0,conference_room_large,wedding,50,47,Stephenie Waelchi,5,french-breakfast,4,14:28:00,6,150,900,28,928,2016-02-15
85,165,5,L0,conference_room_large,wedding,50,47,Stephenie Waelchi,12,spareribs,2,13:20:00,6,150,900,34,934,2016-02-15
85,165,5,L0,conference_room_large,wedding,50,47,Stephenie Waelchi,14,coffee,1,14:47:00,6,150,900,3,903,2016-02-15
86,166,2,D2,double_room,business,3,1,Gracie Wiza,NULL,NULL,NULL,NULL,2,100,200,0,200,2016-02-01
